frame,elbow,shoulder,knee,body,face
1,88.20883397164599,11.498716550918115,90.96565528237876,76.57573184574034,99.04103769729528
2,82.83386279788724,15.230931407936511,87.86504913740046,74.04634139884607,79.2830930647662
3,86.71621138957703,19.86302461327866,96.50359094269585,76.60054180036889,69.03654429769534
4,88.88865730121012,25.708213564831528,95.5349107882743,74.03544164506884,83.87294483828657
5,73.89310361300365,18.79803884079118,89.5485651746042,69.98461519186796,79.26991078560934
6,71.70118680827862,22.82400778441832,91.43002847039655,70.60888324951144,78.56368302292526
7,68.2857216362058,25.365316174225313,87.63654204177149,68.06020551091136,79.35442296749812
8,63.8507946036566,24.46969820675949,86.12752007533757,66.83389374834832,83.8712192024064
9,62.25177819746114,25.93859775933258,85.44005528728955,65.55270599739167,84.95978348090478
10,59.788739522282356,24.275914665087853,84.35064382229774,64.5800195574857,84.12582841505099
11,57.53918023968315,23.91387152429614,84.35502654652298,65.7926000973573,85.6224665827217
12,56.93675967049755,23.788419147665316,83.35674957893892,64.56747998205735,86.65164032425253
13,57.0588552812297,25.52698325817588,82.28985182629846,64.42236455812613,88.30554955466596
14,62.08170834901208,30.645447910152104,85.18690755174586,65.77064805510312,91.76515755758055
15,63.70883378894008,31.11296656378413,85.37820939637847,67.57866179298796,90.93910316376986
16,60.74875686486528,29.51461901842586,84.96465985375481,67.01960976597513,89.87288925093657
17,63.29210073537092,28.413898901946357,83.22643552913193,66.5520574889166,85.12030071595461
18,63.298737517666645,25.975380260609562,81.29281402072195,65.68466751338808,87.75148855418291
19,71.7487522963797,24.893287385372638,76.37905293746414,62.745025250633496,85.7596780612032
20,73.72205141201395,25.236777827301182,74.18996472585653,62.195797717908036,89.38344697625621
21,70.40998816793137,26.199272042538745,74.24670316961789,62.38373695795471,88.9132323045522
22,63.87413937439664,22.376183677833712,73.88034979940156,62.22383300099232,83.46832113708825
23,63.28813472238703,21.524255902305814,75.32697685010456,63.17285278898233,84.29564868133093
24,65.03874629329826,22.543136185226434,75.60214848810958,63.643793888227876,83.30657649923063
25,68.89959970899135,26.397825126707687,73.29464495592777,62.174251986405466,89.58797893408547
26,75.20179527279485,24.48171631282655,71.72621519974173,61.73978216191814,84.1671063459442
27,75.82534020753967,21.55690444165331,70.32887669224955,60.237190010486735,90.25340989321302
28,70.0322998373991,16.229287475191274,69.37186493556005,59.15022007370797,91.36479584248747
29,72.81801395754451,15.90671595088655,69.14062489068125,59.53468254555305,92.73244329451336
30,76.03705046430044,16.110546773559467,69.68965796447048,58.670843245197474,82.04810450417261
