frame,elbow,shoulder,knee,body,face
1,139.59287237398968,96.48158638451838,54.230605434421086,56.800558455458976,66.39141164489638
2,163.54396366355368,120.58230278413932,62.390437539783115,79.51148373211122,33.10105260459642
3,91.86909809737284,53.427709185449615,81.14806587981708,76.01689758799648,67.11101508374423
4,102.95845103250292,48.614551220367005,68.72370235463173,75.10843266696197,84.43175366780844
5,66.94692290527735,22.756709788027155,73.61760417217705,68.20940834779697,81.25226793487218
6,76.82398914181687,28.538734596919603,79.0163372184249,71.40722915592858,89.84569238126466
7,76.98844138783177,20.515836093731128,81.72770668175106,69.83324073678891,94.21716620183565
8,81.3724955012701,23.030071976943656,84.62631126512261,70.79021123691018,93.99386648046703
9,81.26838211814376,21.80641394435932,84.97910802764686,71.64704112596256,96.64671701284118
10,81.78446354791697,20.00429222198518,86.43666426724131,71.8489405213754,80.89493720712716
11,78.80071393979513,17.50184942819954,86.54026249793607,70.9190182317726,87.36203033274364
12,80.76319604881715,20.14786022845531,87.36789470092263,71.85804933721286,77.52348666489127
13,79.1264446803206,20.368000355167617,88.05516117500093,71.46703902067317,83.06886737012792
14,81.75061359736823,25.040892718463095,90.79535213333996,73.59114759766857,86.22111244948132
15,81.06708641564066,27.94147137657912,91.99042264775224,74.44432019466184,87.23513623536854
16,79.95912693727188,30.890286281654046,95.6112511048522,74.98687012184986,82.44549875665496
17,87.09329533272536,33.69343633635479,100.24343939755292,77.67687271018134,84.34424251961468
18,90.61774639918274,36.88853727144696,101.15188873535125,77.55909974261863,84.0164356285382
19,87.71700675451433,36.136592372037256,100.48535007457696,78.44751788956523,83.6466732169003
20,100.23368684189272,33.681327503027454,103.89691185151898,78.52396539592431,83.79159884665853
21,95.38008587014365,33.229821621464204,103.49569455465759,78.28784890584299,84.80459297063203
22,98.18373881074311,31.6637714712208,103.1985681784816,77.79351709229674,82.69678275719019
23,96.61908772701987,31.254074530102734,104.61823828177538,78.34970083705461,78.98312182881244
24,110.47836196580012,29.672515023018793,104.83289368187894,78.7000305278197,74.71232465993916
25,117.7079752959979,27.39894894759903,105.16679584582035,78.97237489061963,78.86479097264902
26,120.20374910770798,24.44419351639763,108.67277119761064,80.70794243603416,78.00466242945896
27,120.19266062638631,24.597694220634608,110.04022128014402,80.84762940312352,75.20306065970493
28,115.58141648822493,23.79618901962475,111.08684785238462,81.18833485688185,67.7533282838985
29,118.27351210058002,25.331390336785955,111.8348681579169,81.98034134049425,73.2748731912128
30,99.16279899822062,22.731213830773427,112.0391552086908,81.78344655263261,67.70284881441358
31,80.81188020962946,16.70742247023594,111.7195611282755,81.1396074331706,64.36220281389075
32,76.32413300849805,12.398854569236494,109.85236345709188,79.32234395768528,63.45151922736409
33,81.61963085614515,14.35841899668429,108.41727510320077,78.32615776497715,69.28385582267254
34,81.69876457838986,14.185220642819408,107.06791052618581,77.16789997866547,74.32528373569153
35,87.59265746946875,14.68067279995127,105.65433503163727,77.30608839539825,68.4296259557915
36,86.102918654491,15.245898955344826,104.24454330115415,76.68594169684869,61.45222622658241
37,85.2800650056772,15.93438079056855,99.01510533706882,74.59459033796661,50.20420875087194
38,83.87647923883921,16.16725831303448,88.97054723569696,71.86724468928644,50.906960526069895
39,86.35497562603904,15.023363340400026,81.07515601082876,65.56893966558134,40.82066225075761
40,82.55488472129431,13.98640327258208,78.96166206702678,64.79173930551782,52.56942676800071
41,80.05411159916382,11.51639801637535,79.02758073308117,63.94489671137186,43.540761801267934
42,73.88036897369246,16.859475419234503,78.41760350463034,62.88094481327416,32.13892940452456
43,73.50263046146542,20.185681210178856,71.69282630771485,59.13869779567303,40.70811409904758
44,64.96560431151494,17.831265137008288,69.68352489147314,59.83166087025381,38.85866671633153
45,59.9815685616075,16.12665038144992,74.7810946413538,63.3126765132369,38.20585561966635
46,57.92892416416436,34.95485997726304,78.36823859991925,66.84566675713855,50.351709340415084
47,54.989265163889755,39.3853054284604,83.4563447632436,69.69035896565933,44.10107545649487
48,62.78576338074746,47.61587690347205,85.72644576602887,71.23482028909743,36.624586425217444
49,59.40877499320076,42.24040705118759,86.11335878322592,72.85735438919723,16.43561157315498
50,58.47670924447162,44.329731974275234,87.207049588909,74.55143947233083,14.351550985509368
