frame,elbow,shoulder,knee,body,face
1,40.575532749495245,14.09192024884243,160.9542246315107,103.27428933553703,76.44377101108546
2,106.98342955249339,31.533448028316144,168.18294737730403,160.13958519331382,84.56342760817824
3,107.38494738213333,30.2481111932415,79.88567853180238,111.32679830423295,79.79735274207707
4,111.96553147155976,49.982569377435986,78.27752578208415,102.69544486219411,70.67107145950843
5,114.76954512775382,64.62636177110828,70.63448499893461,91.91900727872662,80.51286029715862
6,123.73073335678265,68.14439678337659,76.29361034406357,93.4012494812077,89.42248178699543
7,98.67298020771676,43.92193718485338,84.60887122406898,101.7899494519223,94.73207926813109
8,88.01837671282698,40.58155318107605,89.00116282681441,106.02387473318686,102.96580771316064
9,89.4009153594792,50.50906058143973,91.12888974491806,109.97782062572853,103.7160800621038
10,90.97694834205384,59.127685174430106,101.07419523659296,115.14744186315907,106.53346060595337
11,71.96286144824262,63.45339973578942,113.2354979818265,118.44104498531432,111.003594518923
12,69.02294212853315,62.56760158489186,124.51398852975178,126.63795314348837,112.41588579262194
13,63.972536730975435,61.02247535726536,146.76233393798347,134.05941734570922,116.09089269688661
14,4.909488354258883,39.440736365105394,159.67633287672228,138.1088811131585,123.10807344151976
15,50.10865108796912,14.11966031360937,169.81626527736486,145.13533825456273,81.24923670745392
16,78.16874889943509,52.07008564743084,176.9252671677186,150.14227461404616,52.644548847448554
17,100.89805918005516,51.58856562469553,178.6372453587788,152.46483673058714,25.282660742066067
18,113.05127977459048,56.19661362171063,176.37727244943082,157.1195762780529,18.030733298242502
19,131.75556901727978,58.28313366444165,171.9201410541891,161.02281626575046,31.644091026627116
20,146.61849537505915,61.545521694009075,170.93789287754078,159.92301465664968,55.31864003015947
21,158.16377323712578,65.47318889136221,168.00832847923465,160.7740574455499,61.216520446658095
22,165.18317763255445,68.86179529413845,166.7176061444547,159.7711436277573,60.064702120542876
23,168.07253057887573,70.43851645550833,165.72495108242563,160.41587248017905,56.49465094732961
24,172.12234702949797,73.01074730649977,164.5511486823927,163.321015421467,52.23422858382625
25,178.68130487629094,75.45947645849154,163.97018044727358,164.70565509511536,48.95943566791648
26,177.74985004982028,75.80204080506759,162.39992045413135,165.69125308306386,45.82870033550741
27,176.91672909554748,76.3719522870743,158.8171679957226,167.51194794171653,32.99375129853487
28,177.74944680127143,73.65011628517846,153.77200262535567,168.9968980188432,38.05768740122005
29,173.5309202868681,72.11732189010304,151.09055174682317,170.322011396208,43.236781534466715
