frame,elbow,shoulder,knee,body,face
1,178.42873766770674,41.711119587844685,148.62764614489888,92.37802614415763,28.02888085784324
2,173.03012892028056,27.952769775164022,151.5587297730579,162.72171388425903,33.9024163830663
3,177.06661266563495,32.8276758071359,167.25042327059182,172.44191411297018,19.905257564707846
4,149.23226044230853,16.919280786016817,80.80798106310914,69.73840453820983,23.231921239550974
5,172.8650419125538,31.998407053676807,123.88072268989505,49.80487371271954,21.702040952758665
6,165.27904820554636,50.688533152140835,130.54680482381153,47.84112329560071,23.044883520680653
7,167.1638800907458,59.47669838399367,120.7500690500888,111.65002633472271,12.252026136340096
8,179.94881041276088,45.51243663318282,125.22665507174378,138.1841502554216,14.30602847312343
9,170.98366539105433,51.53782879858593,168.1135584187047,169.1822753960776,3.551924502131834
10,149.346968146352,35.4310712931835,176.8550645901732,177.84072874725572,2.0058990113293595
11,176.81100526688377,65.8274412157243,155.3033909806884,169.0005243844558,35.65969882285765
12,162.9844087918548,54.76385997396829,156.4150800888884,178.1940032385946,45.83057876627578
13,157.78233802782725,58.01306147625014,155.5295482150982,173.277714425748,18.224866766886237
14,145.96894747380193,45.378669411194466,148.65073226313672,167.1763594410186,40.82995275592924
15,156.5164629728832,59.3017532625518,139.95693129298812,149.4045041753308,59.240620277695996
16,148.62456270385366,61.18237898290154,118.91880424916322,123.84632976692794,78.00239600226917
17,103.36490830810936,37.98413855385067,101.94880042782036,105.74917451654484,81.7441076426145
18,88.55325046387229,25.081856706762284,94.18741272528011,96.34642433957755,83.94489450661746
19,85.3238434943351,20.747494743120587,92.96030371052524,90.23794464419058,90.27016213539707
20,94.82962467344952,25.640438744022052,93.66310052189816,86.49515240266531,77.83500666903745
21,90.2312218040377,31.250039583872407,93.99898834527602,82.88917687079226,85.51481194962611
22,93.92380654215113,31.090115819914427,91.60887190671554,80.5027503338187,82.59753827292667
23,95.61258987383498,28.81211106523239,93.34012806405136,79.26302334641743,73.95600050014173
24,102.04794684067518,34.43081511805804,95.14010273538283,77.60572144696533,74.25343865523922
25,100.5454929370331,31.67200559536949,91.53234123266076,71.56835376780597,81.22661917421766
26,96.04043484793667,29.04951106759297,86.6957455266267,64.84723848983879,84.96034655574704
27,106.0627672200349,34.24239764589976,89.88101903114081,63.45588414781322,85.31544264636489
28,104.41215762642953,35.36333414402275,88.31501464892324,65.01643412147422,77.33495939291925
29,90.66859483192549,26.86856027076613,86.42115912584292,65.76905272542456,76.36565081835533
30,84.88192952496145,21.193876817656864,78.81901151746823,61.67952613248938,78.33395152850431
31,83.643483139677,20.678619025370015,78.52902280211244,61.409090130436134,78.76951499700812
32,84.09545625951401,19.93716469039293,77.30859020991683,61.10115831929624,79.10223110515722
33,82.59318941237152,18.5502773639143,75.97308386131903,60.290652314255745,79.79606841705566
34,82.85452967463759,18.813691034452457,76.44586359228117,60.433481521408154,75.18137349169012
35,83.23207607238294,18.180620231911327,77.81817550956538,61.09203410233607,72.36862015832224
36,84.33887691830294,19.77790234833817,80.75939997342917,63.293967093636404,73.88195305896011
37,87.01400009776142,25.049005516878502,82.99911340499958,66.74888919551006,62.40352750344931
38,87.61166491459707,25.61803293242912,89.16305141755718,71.94770748934533,57.746893772235865
39,94.63331646887352,31.956935027374392,92.79647358062543,74.84466716474427,54.47074334132475
40,90.32209313003881,32.049440833454575,92.91949109327926,75.22425029888063,50.70131119711061
41,83.72706853828585,26.69617383049714,94.21825046098556,76.01725618391836,53.22876337789012
42,93.32485655294433,27.81761622975693,95.63369363966099,77.56770419816719,63.75337127216966
43,100.61467634536247,33.23227175610194,97.94427822400476,78.41804781784423,71.11704430958065
44,112.91716397646144,39.60773300221553,104.63393399720243,82.23359287357546,75.99255228966132
45,100.31600956508058,38.269617800231664,106.750299256103,83.02269849571648,75.86498836769385
46,110.29494948194949,41.67649429669579,112.81046287486453,85.68475897648509,78.60202796976944
47,134.42630385290792,48.73503648243396,117.04027492632858,86.59459532171347,78.87487648069686
48,128.9058943382252,48.92244967057273,121.0962254872565,88.48684766236956,75.52632103150808
49,151.48684632134604,53.68764295005207,121.62747168932395,89.49132854229103,76.51583255101525
50,144.2737831974437,55.98203320646925,120.08110417723165,89.27636840136427,70.13611899724918
51,150.77667527974162,56.77015983806101,124.29760435810486,90.39227300864435,69.28446068447965
52,137.40796002174787,52.51074557089831,125.5630683665825,90.88786463336378,69.69867474423967
53,150.05018603496413,54.186073687654776,127.19266982838653,90.14223137692277,70.5441400126034
54,163.50079966002974,55.49112386382106,116.91116656302525,83.86695257627419,71.50296457550462
55,176.89235023947296,57.53184235999035,120.95831258480777,85.91013881198357,79.75744418361762
56,119.44905947918893,39.049099149782585,124.01430929036307,87.85367694793561,79.03391015743301
57,103.10385820531955,31.58152235372904,124.53540749437057,89.19743820731485,75.01195952792767
58,98.02985919678251,28.98077961811794,119.76513398632669,88.64502854306545,72.06100009485755
59,98.94518660395251,29.675663693252744,116.36629303958225,86.86980870610964,64.65957467298995
60,96.59797134310014,28.338123043416086,100.32829403195761,78.12629523784145,56.36682071348167
61,87.36511327770509,21.016115222079605,102.03420248473462,80.64819313020205,50.79955106741136
62,82.99743689756474,18.01478373280644,101.65131892991397,80.07311622711676,52.80240050530756
63,84.15128588908898,21.112346082734803,94.06309339526226,77.40484130096401,47.96297435752342
64,83.98450633142534,20.410657606121624,80.9117481784058,70.18612429475971,50.3230015078517
65,86.01720841794031,19.26058578676854,76.3937224614601,66.30667700308065,56.04394418286091
66,84.59163931228883,18.486232869637345,70.56447182417885,62.181050359687546,64.26844588742767
67,81.84091560709398,16.73044622534161,71.47982423228672,61.9235769903715,57.51151944118584
68,84.18970640841786,19.84315945115644,66.960947602555,59.36716541082367,61.0748926952906
69,83.03232539670311,21.184675315716508,64.26334093083332,56.18309033067435,52.09394993567196
70,81.99759097506762,21.34725751460618,61.71807110214614,53.982584063940116,54.85894764137805
71,82.82681107623671,25.523721403620755,61.738860958111374,56.15445848450818,45.872948627219216
72,78.99290027176193,26.609224183832552,62.74961813960185,58.31451151671468,59.41063369471277
73,77.93590262377187,27.287958520227388,62.27614498225657,56.74147184448223,54.98672663037456
74,73.47001861296626,28.47876620685642,62.78710108446207,55.056040657417164,53.68781469931861
75,75.88436782353386,36.338982813535246,67.13301163158536,57.10231860308328,57.75528402644255
76,81.44806109936587,47.88699943182442,64.75655696768973,53.42976879282648,53.08670271745626
