frame,elbow,shoulder,knee,body,face
1,98.8541899750159,3.8581674944090714,148.02031012207127,168.84914451161026,65.07251598953923
2,119.32102226533186,23.456145050867626,103.57031237652177,120.62268541338354,97.22789612675456
3,75.39052087783637,7.486621686248013,91.79643331874034,95.46056819758124,103.68625740186417
4,83.89677004223705,11.083473243550198,92.38399152495525,95.1742956664221,106.16148753156986
5,83.71395958890858,11.32092952392399,85.9666471209296,88.99366676333842,106.6688349482146
6,91.25195515110892,13.245253922650319,81.92666985643125,89.33900566204613,110.7176993635463
7,89.79161127312378,14.98064381687642,80.62710536770258,88.16122950468241,111.80838062633796
8,83.51545554451152,13.520433720921762,81.17901722593574,84.66205770515498,109.47043648931839
9,83.76370739336586,13.732011978857406,76.95370385387662,83.69602182731848,102.16343126346982
10,88.74338798571449,19.434421970468776,71.62922072475206,84.80479980801675,90.16535351761871
11,100.57758059157688,31.897177562623227,69.58270507743059,83.2679711729129,89.01464814294968
12,98.67466750429827,46.259707818908886,65.43482306611291,77.54870975100314,65.44031296905496
13,92.38275006445565,51.65334958424133,65.34894106649271,77.94755626948152,56.11096853297687
14,89.75124459933397,56.17257938156353,67.54558546062383,79.1930445572248,50.253995778014485
15,96.13962169912753,57.493168157301575,72.91153246796233,80.65572949664688,50.55113064112942
16,101.45474487901174,59.00019360562163,77.6508627698823,81.90014122681787,43.9273677704806
17,112.96236087709153,59.96064970226611,85.48550900576016,79.91081701912272,53.833102568298386
18,111.18290111453788,67.58734510382685,93.99275364851148,78.56367741489535,34.171559483749036
19,112.17344910703918,73.47851562990385,109.81329193639024,77.83323243713185,8.722611025334121
20,116.92118200285628,75.92441660438938,123.62611231259439,80.67418240895236,8.423023593434843
21,120.1704711259531,84.12837334453447,135.0154916718803,79.33331316500147,6.664785689351088
22,136.62891421708122,91.20244499466331,144.35668163460434,78.65164472805094,4.392535404811998
23,157.80353055114867,138.72707406715844,150.85944592416945,82.44699499594105,13.75478768488559
24,106.7555494806472,100.81702370976954,151.7377886016215,78.92007359997443,42.645708997608324
25,112.74694204844323,90.33764185826531,147.9004100400895,81.12878403442619,7.642125841496362
26,124.91833943119215,91.64664846700911,141.7203965769809,82.81958703723325,13.306901880311479
27,128.214370819856,87.5970790806509,140.31924955902204,84.42217088221273,12.440432885477511
28,125.27866058825364,89.45357342750812,137.4773147690215,80.20020222372749,26.40396046498704
29,127.15727914660005,96.58015935569276,132.80505686279926,77.57962921808976,43.64706729686799
30,123.04282001419185,96.11033036156259,127.90183089517717,76.51920484695005,58.876648422581525
31,121.27048668671767,93.07897324708976,124.51396182295024,77.00271079387369,60.54540397401473
32,122.06826025867261,90.90040680678216,119.08620695889483,76.61563440583564,54.710989524942875
33,124.1548728187681,85.94809771785711,114.46865927774752,78.33861787459139,70.83412326611028
34,125.41336799351097,86.7182503869353,112.92794451464366,77.4825054129359,74.43917541219037
35,130.20587974025543,87.98905407179349,112.69399849338848,79.00937674574439,74.69928280277105
36,140.12003371293767,90.81413319719033,112.00591530243705,82.6912756617794,75.1405630217767
37,155.2400397298619,94.34980587720885,109.82097840884076,86.45531877711765,61.686971058090705
38,162.47345985429365,94.97546896300516,109.66352041628346,86.8571374615232,74.91128018697788
39,159.30933959148024,94.21404855917159,106.54720905954571,84.20691124114512,52.06030658614617
40,161.4736875635959,98.62824007662778,102.71885711179148,81.72498498709771,67.37637050740108
41,163.12567279116982,108.77275151172633,100.76931015269501,83.4609881178028,76.59574595315456
42,179.34022755585556,104.44380110904991,98.97409716464757,84.82965606403957,65.57075797958402
43,175.04424150219825,102.03673471808595,98.45669441199031,88.1012229421667,83.13964586731407
44,109.63285796059903,102.84305448967764,96.20929761989437,84.5627208068068,90.72571806690291
45,80.3608189605967,38.13476673755822,95.50185934779878,88.10550424881608,85.14150856735188
46,4.635846171746547,23.6334109490868,93.78910340240128,89.43371306385372,92.55006528991242
47,70.01632540422463,9.567304952751016,91.6745409329925,85.9101087407391,101.39794558000915
48,13.356868072504042,91.00421553734158,90.5157346458085,89.51243342350804,95.59861582010933
49,5.138525207721549,97.21570559872066,88.2501562765247,92.95824379793011,90.34706959020389
50,1.6674809286352221,95.70257819452593,87.26942585090424,94.53617840848057,87.84400879051509
51,1.7229798058130248,92.7732225988223,85.0688898217683,95.11145108372345,101.86881138304346
52,9.326231789214823,87.41144550279193,85.43035667692094,95.42416892115668,104.45520582191065
53,15.668531113334497,79.06898098125757,86.45274587916127,97.18686534005636,95.67858827296806
54,18.9000788154451,76.32943793224503,86.72243036833076,97.83936754562667,80.70401444197006
55,30.07695684404401,65.04321351627692,87.94921457313707,98.4407877132982,112.97065632771387
56,38.404275483822225,56.032048266853565,86.48696862558799,98.1553617408918,113.7088075176691
57,47.20666646940136,44.59768126628911,88.06411692931907,100.1265556215932,138.3739754964422
58,51.85378969098871,38.89025069003171,87.97123587088532,99.79376781442006,121.40025178355518
59,59.239084723150995,29.86397648658494,87.56089761505893,99.56084804317796,122.28932757659445
60,93.10467279684366,1.9053138450743137,87.28058584866336,98.20764933094883,135.18354811481672
61,72.98931396263714,16.304093396778367,86.11054849127055,98.73879875578388,118.37142603038822
62,72.82862120519485,13.345342512129985,85.71017137640018,98.08242972331742,124.44875890770504
63,76.22624333251025,8.43416990880523,85.7546917104947,97.50063146849176,130.70633181661861
64,86.71998438916796,2.578252528996548,86.0691585454745,96.90339493605553,132.5690574990638
65,92.20124731888018,7.676366607666352,86.50052349940826,96.89417653683435,128.77220792105382
66,86.621315689271,2.8655888483221212,86.8635828933236,97.22070088438906,130.75386930479047
67,81.53976369856167,1.050485069122659,87.2327162398228,96.94175132494166,135.44538886869768
68,61.52687788729622,21.822383495921663,87.7370429545881,97.44340426062828,122.85731138760784
69,57.530589257587394,25.90057399985373,87.8810524479659,97.77629842040768,112.60202191132015
70,46.144526711996846,37.59579368302247,89.18094112694466,98.76092337075096,111.69404672522234
71,40.107016280130004,43.013461363244105,90.76864218988212,99.55597181804815,113.24957264239805
72,41.36606787809997,41.89916911643494,92.91969675189696,100.38546141225622,116.18111791852414
73,44.260304001243654,39.69393654063474,94.09857590506498,100.56755581231182,125.30893688077933
74,40.42026491081736,44.52019406835025,94.72311075356221,100.93574240436048,128.22392998506024
75,39.535305813163404,46.65507188011431,96.12087416183913,101.88174905629694,137.64133096981485
76,26.494768953023772,59.73989974156448,97.30987229179343,103.86712786143997,119.000508563594
77,16.302262251807228,70.9839100217613,99.0996203882208,104.4114080288713,122.63977251150578
78,11.849600948904339,75.20104727817282,99.54021098941047,104.54867292601608,125.60212787732962
79,5.220142363927827,80.70735384493813,99.9337248146999,105.82212995483764,125.10271272999606
80,5.214922708578656,81.10266406504185,101.40912517752584,106.11806647669196,122.54572799999309
81,5.9425223995311365,80.6178011835315,104.51053397571606,107.0483544408738,122.99082840139181
82,6.521471845761184,77.42926586280281,106.45969005685673,107.16968832061637,117.19812338882116
83,6.310711306830123,75.21448950731717,107.94808088848927,107.72988903093423,116.3811720339329
84,7.971361337158236,74.56919894896788,107.9075803490773,106.68087577961889,102.59128354792438
85,4.415800377541472,76.57475650393972,108.4062230337242,107.47012225977795,104.90401094532774
86,4.435468441607165,76.74215130487107,108.81195939498654,107.8532480968114,100.57787963750332
87,4.788496612827357,76.65971513224632,110.72681370936593,109.6124625197024,91.79544498550564
88,3.5594697458332227,78.37377163255287,112.71913387041143,110.09402492392671,88.24539648883774
89,5.809959769229349,75.07945492691,114.40226994346928,110.1817695721981,88.38722471804198
90,4.806079264061098,72.84420033322068,115.18535488554869,111.08912418981092,81.40189478518607
91,0.17651999859922715,64.85710923966288,115.90738351976215,112.49227318070449,71.97338380871224
92,3.046396505834055,60.7247002328021,115.6928466616061,111.81185787177091,82.41534420529615
93,3.524342382662104,61.160916094301854,117.23002459789745,113.09526628940017,79.68024332838729
94,30.17142352249764,52.55239280709474,116.34977023171284,112.61629536326203,66.93821074189998
